T,count
5-8-1965,6206
20-7-1965,390
25-5-1965,421
14-5-1965,336
17-8-1966,6393
13-7-1967,5907
20-7-1967,53
20-7-1968,6219
21-7-1969,6059
20-7-1969,59
8-7-1970,172
12-6-1970,171
5-8-1970,185
7-9-1970,97
11-6-1970,116
15-5-1970,115
8-6-1970,114
4-8-1970,112
7-7-1970,358
12-10-1970,96
30-7-1970,80
23-9-1970,480
11-8-1970,953
10-8-1970,893
9-7-1970,636
13-7-1970,682
18-6-1970,81
17-7-1970,1436
12-5-1970,80
12-8-1970,430
9-9-1971,346
8-9-1971,1129
7-9-1971,885
17-9-1971,406
16-9-1971,1105
13-9-1971,856
1-7-1971,268
14-9-1971,276
15-9-1971,257
27-4-1971,60
26-5-1971,81
2-6-1971,82
11-6-1971,91
4-6-1971,99
10-6-1971,107
22-9-1971,91
6-9-1971,182
1-9-1972,536
2-8-1972,882
31-8-1972,757
30-8-1972,1181
1-8-1972,388
5-7-1972,360
23-5-1972,194
31-8-1973,457
6-8-1973,84
20-8-1973,449
21-8-1973,613
14-9-1973,539
27-9-1973,318
4-10-1973,525
5-9-1973,84
6-6-1973,68
6-9-1973,86
25-9-1973,397
26-9-1973,207
2-10-1973,1264
22-5-1973,93
17-8-1973,98
9-5-1973,122
30-8-1973,178
3-10-1973,965
3-6-1974,89
29-8-1974,267
10-6-1974,297
13-6-1974,77
4-4-1974,61
25-7-1974,159
28-8-1974,384
18-9-1974,546
23-7-1974,664
24-7-1974,686
26-7-1974,848
17-9-1974,982
13-8-1974,1061
12-6-1975,154
8-7-1975,54
13-6-1975,164
11-7-1975,177
10-3-1975,344
8-5-1975,7564
5-3-1975,81
30-6-1976,231
29-6-1976,384
28-6-1976,269
11-4-1976,3284
1-7-1976,2246
22-6-1976,95
5-7-1976,98
17-4-1977,7548
22-4-1978,9271
20-6-1979,233
10-7-1979,13211
31-5-1979,74
14-5-1980,144
1-3-1980,14488
20-5-1980,291
29-5-1980,151
18-4-1982,13150
9-4-1983,13347
9-3-1984,13626
21-4-1985,20321
5-4-1986,17731
22-3-1987,17641
23-4-1988,24579
3-4-1989,27515
1-5-1990,797
6-4-1990,31502
25-4-1990,110
1-1-1990,104
13-4-1991,27222
5-5-1992,27351
23-3-1993,34494
29-3-1994,26444
30-3-1995,27272
5-6-1996,45042
23-5-1997,43714
14-5-1997,548
26-6-1998,45683
15-5-1999,28342
15-5-2000,27660
15-6-2001,29423
15-6-2002,27664
24-3-2003,32588
25-3-2004,26537
3-4-2005,27182
24-4-2006,26567
25-3-2007,20629
19-4-2008,23078
2-4-2009,35494
17-3-2010,28789
28-1-2011,31607
20-2-2012,31541
15-1-2013,31629
19-3-2014,31212
22-5-2015,31502
1-1-2016,31959
28-1-2017,32123
14-2-2018,37601
20-1-2019,32418
7-3-2020,32018
16-4-2021,32238
27-2-2022,40540
3-4-2023,68976
